Date,Heart Rate (average),Sleep (sum),Sleep (Core) (sum),Sleep (Deep) (sum),Sleep (Asleep) (sum),Sleep (REM) (sum),Weight (Most Recent) (most recent),Steps (sum)
7/30/25,80.5,6.5,5.4,0.6,,0.5,,8767
7/31/25,91.3,,,,,,,5463
8/1/25,89.2,3.3,2.7,0.6,,,,14109
8/2/25,73.9,4.3,,,4.3,,,3583
8/3/25,67.3,7.2,5.4,0.8,,1,,6687
8/4/25,75.5,7.4,4.5,1.1,,1.8,,4876
8/5/25,70.5,6.9,5,0.3,1.3,0.3,,2995
8/6/25,69.9,8.1,2.6,0.5,4.2,0.8,,4477
8/7/25,89.7,,,,,,,2544
8/8/25,76.6,,,,,,,3993
8/9/25,90.1,,,,,,,5819
8/10/25,87.6,1.6,,,1.6,,,11967
8/11/25,94.1,,,,,,,1178
8/12/25,76.4,8,5.3,0.7,,1.9,,4400
8/13/25,75.4,1,,,1,,,4338
8/14/25,63.3,7.3,2.5,0.9,2.9,1,,5845
8/15/25,82.4,1.2,,,1.2,,,8368
8/16/25,90.4,2.2,,,2.2,,,8687
8/17/25,94.3,,,,,,,10932
8/18/25,72,1.8,,,1.8,,,6229
8/19/25,71.5,,,,,,,4411
8/20/25,69.9,5.3,4,0.8,,0.6,,4958
8/21/25,71.1,8.2,4.8,0.9,1.5,1,,3462
8/22/25,77.6,1.4,0.8,0.6,,,,5426
8/23/25,72.6,15.9,9.7,1.1,,5,,5530
8/24/25,88.1,,,,,,,6382
8/25/25,76.1,5.7,4.2,0.5,,1,,3640
8/26/25,81.2,,,,,,,3753
8/27/25,75.9,4.5,3.6,0.6,,0.4,,5343
8/28/25,76.3,7.6,5.7,0.8,,1.1,,5581
8/29/25,67.9,5.2,2.9,0.3,1.5,0.5,,3772
8/30/25,117.2,,,,,,,4112
8/31/25,74.5,3,2.3,0.2,,0.5,,4013
9/1/25,78.7,5.2,3.8,0.7,,0.7,,10940
9/2/25,76.3,,,,,,,4256
9/3/25,77.2,,,,,,,3939
9/4/25,79.4,,,,,,,3479
9/5/25,79.7,7.4,5.9,0.5,,1,,12298
9/6/25,71.4,10.2,7.5,0.6,,2.2,,4621
9/7/25,67.5,2.4,,,2.4,,,1370
9/8/25,72.8,4.7,3.1,0.6,,1.1,,4440
9/9/25,77.5,1.4,1.1,0.3,,,,4513
9/10/25,75.6,5.4,3.9,0.2,,1.3,,5896
9/11/25,73.9,5.6,4.4,0.5,,0.7,,4719
9/12/25,92.5,,,,,,,9201
9/13/25,114.4,,,,,,,6112
9/14/25,76.9,,,,,,,9580
9/15/25,77.9,,,,,,,5364
9/16/25,76.1,,,,,,,4659
9/17/25,73.3,3.4,2.8,0.2,,0.4,,4769
9/18/25,88.9,,,,,,,11423
9/19/25,73.1,,,,,,,6318
9/20/25,72.8,,,,,,,3488
9/21/25,73,,,,,,,4555
9/22/25,79.5,,,,,,,8711
9/23/25,81.3,,,,,,,5701
9/24/25,83,5.2,3.5,0.4,,1.2,,7560
9/25/25,83.1,,,,,,,7308
9/26/25,61.8,3.9,2.8,0.7,,0.5,,4541
9/27/25,102.4,,,,,,,1299
9/28/25,100.5,2.1,,,2.1,,,8581
9/29/25,89.5,,,,,,,5823
9/30/25,70.8,6,5.2,0.3,,0.5,,3749
10/1/25,84.2,,,,,,,5963
10/2/25,73.6,11.5,7.5,0.5,,3.5,,6305
10/3/25,77.3,4.9,3.8,0.4,,0.8,,5053
10/4/25,72.6,8.6,6.8,0.6,,1.2,,4688
10/5/25,94.2,,,,,,,4347
10/6/25,99.7,,,,,,,10827
10/7/25,87.5,,,,,,,5047
10/8/25,73.5,3.5,,,3.5,,,7809
10/9/25,75.4,,,,,,,3002
10/10/25,85.1,,,,,,,3425
10/11/25,73.9,6.7,4.8,0.6,,1.2,,7382
10/12/25,80,,,,,,,4377
10/13/25,80.9,2,,,2,,,6355
10/14/25,81,2.1,,,2.1,,,5233
10/15/25,82.1,,,,,,,5500
10/16/25,72.2,,,,,,,3882
10/17/25,83.5,2.4,,,2.4,,,10486
10/18/25,80.6,,,,,,,1574
10/19/25,72,10.2,6.5,0.7,1.5,1.6,,5163
10/20/25,82.6,,,,,,,5035
10/21/25,82.8,,,,,,184,4138
10/22/25,77.6,2,,,2,,,6069
10/23/25,77.3,,,,,,,3943
10/24/25,78.6,,,,,,186,3023
10/25/25,68.5,10.9,6.1,2.1,,2.7,,6707
10/26/25,90.5,,,,,,,5403
10/27/25,87.8,2.4,,,2.4,,188,4611
10/28/25,88.4,,,,,,183.2,5084
10/29/25,73.6,1.5,,,1.5,,,5166
10/30/25,72.2,7.3,5.5,0.7,,1.1,,4216
10/31/25,77.7,3.2,2.4,0.5,,0.3,,5159
11/1/25,103.3,,,,,,,9284
11/2/25,88.1,,,,,,,7815
11/3/25,83.2,,,,,,185,5642
11/4/25,76.6,,,,,,,4190
11/5/25,74.5,7.8,5.3,0.8,,1.6,,2333
11/6/25,78.8,4.3,2.7,1.1,,0.5,184,5590
11/7/25,71.1,11.7,7,1.1,,3.6,,1521
11/8/25,,,,,,,,1475
11/9/25,74.6,2.5,1.5,0.5,,0.5,,3504
11/10/25,88.9,1.8,1.4,,,0.4,,4518
11/11/25,79.7,,,,,,,7208
11/12/25,81.6,7.5,4.7,0.5,,2.4,,5811
11/13/25,87.6,2.2,,,2.2,,,6496
11/14/25,83.4,3,2.2,0.5,,0.4,183.4,6103
11/15/25,87.2,6.9,4.7,0.8,,1.5,183.2,11133
11/16/25,78.4,0.2,0.2,,,,,4530
11/17/25,89.5,7.6,5,0.6,,2,,7003
11/18/25,82.6,2,,,2,,,5349
11/19/25,79.4,8.1,3.9,0.8,1.7,1.7,,5927
11/20/25,88.2,,,,,,,5640
11/21/25,95.7,,,,,,,6925
11/22/25,80.1,6.7,4.5,0.5,,1.7,,12750
11/23/25,74.4,5.5,2.6,0.7,1.5,0.8,,6887
11/24/25,68.7,9.6,6.4,1.1,,2.1,,4904
11/25/25,81.2,2.8,,,2.8,,,766
11/26/25,95,,,,,,,6127
11/27/25,82.9,4.6,3.3,0.6,,0.8,,6127
11/28/25,79.3,4.9,4.4,0.2,,0.4,,8843
11/29/25,72.2,,,,,,,6147
11/30/25,70.5,11,7.9,0.4,,2.7,,6301
12/1/25,75.2,,,,,,,4209
12/2/25,77.5,4.5,2.6,1,,0.9,,5819
12/3/25,90.2,,,,,,,4898
12/4/25,87.4,7.2,4.6,0.4,,2.1,,6026
12/5/25,99.6,,,,,,,8239
12/6/25,81.4,1.7,,,1.7,,,5525
12/7/25,85.8,,,,,,,3131
12/8/25,80.3,4.9,2.6,0.6,,1.7,,8422
12/9/25,91.3,,,,,,,8187
12/10/25,82.6,4.6,2.8,0.6,,1.2,,5186
12/11/25,87.4,,,,,,,4380
12/12/25,78.8,,,,,,,7405
12/13/25,73.6,2.5,,,2.5,,,5289
12/14/25,66,7,4.7,0.7,,1.6,,5373
12/15/25,78.3,3.9,2.6,0.5,,0.8,,12098
12/16/25,76.4,,,,,,,8152
12/17/25,82.4,4.8,2.8,0.5,,1.4,,7182
12/18/25,78.3,2.5,,,2.5,,,4827
12/19/25,74.3,4.1,2.5,0.7,,0.9,,5086
12/20/25,74,8.3,5.9,0.4,,2,,9799
12/21/25,73.3,7.4,4.9,0.5,1.1,1,,5877
12/22/25,65,10.5,7.1,0.5,,2.9,,4304
12/23/25,85.5,4,2,1,,0.9,,6193
12/24/25,95.9,,,,,,,2884
12/25/25,80.6,5.3,3.5,1.2,,0.6,,6184
12/26/25,88.4,1.2,,,1.2,,,15202
12/27/25,72.8,8.2,6.6,0.4,,1.2,,12300
12/28/25,78.9,,,,,,,8178
12/29/25,69.5,3.4,,,3.4,,,5658
12/30/25,81,,,,,,,3713
12/31/25,76.1,9.5,5.6,0.8,1,2.2,,6254
1/1/26,74.2,7.9,4.2,0.6,0.5,2.7,,5063
1/2/26,78.1,1.5,,,1.5,,,6993
1/3/26,87.3,,,,,,,7416
1/4/26,92.8,,,,,,,8994
1/5/26,88.8,,,,,,,5627
1/6/26,102.7,3.3,1.5,1.1,,0.7,,10473
1/7/26,92,1.8,,,1.8,,,8037
1/8/26,122.4,,,,,,,18571
1/9/26,115,,,,,,,14096
1/10/26,104.2,,,,,,,8262
1/11/26,89.8,,,,,,,13837
1/12/26,64.6,,,,,,,2356
