Index,Date,Day,Week,Course,Credits,Rec,Hr,Met_rec,Sick,Notes,Hex_Code
72,22-Jan-24,Monday,03,MATH 101,4,12,#N/A,0,0,,
73,22-Jan-24,Monday,03,CSE 111,2,6,#N/A,0,0,,
74,22-Jan-24,Monday,03,MKT 275,3,9,#N/A,0,0,,
75,22-Jan-24,Monday,03,MATH 221,3,9,#N/A,0,0,,
76,23-Jan-24,Tuesday,03,ACCTG 201,3,9,02.75,1,0,,
77,23-Jan-24,Tuesday,03,MATH 101,4,12,#N/A,0,0,,
78,23-Jan-24,Tuesday,03,CSE 111,2,6,#N/A,0,0,,
79,23-Jan-24,Tuesday,03,MKT 275,3,9,01.00,0,0,,
80,23-Jan-24,Tuesday,03,MATH 221,3,9,#N/A,0,0,,
81,24-Jan-24,Wednesday,03,ACCTG 201,3,9,06.25,1,0,,
82,24-Jan-24,Wednesday,03,MATH 101,4,12,#N/A,0,0,,
83,24-Jan-24,Wednesday,03,CSE 111,2,6,#N/A,0,0,,
84,24-Jan-24,Wednesday,03,MKT 275,3,9,00.25,0,0,,
85,24-Jan-24,Wednesday,03,MATH 221,3,9,00.50,0,0,,
86,25-Jan-24,Thursday,03,ACCTG 201,3,9,#N/A,1,0,,
87,25-Jan-24,Thursday,03,MATH 101,4,12,05.25,0,0,,
88,25-Jan-24,Thursday,03,CSE 111,2,6,00.75,0,0,,
89,25-Jan-24,Thursday,03,MKT 275,3,9,#N/A,0,0,,
90,25-Jan-24,Thursday,03,MATH 221,3,9,#N/A,0,0,,
91,26-Jan-24,Friday,03,ACCTG 201,3,9,#N/A,1,0,,
92,26-Jan-24,Friday,03,MATH 101,4,12,03.25,0,0,,
93,26-Jan-24,Friday,03,CSE 111,2,6,#N/A,0,0,,
94,26-Jan-24,Friday,03,MKT 275,3,9,#N/A,0,0,,
95,26-Jan-24,Friday,03,MATH 221,3,9,00.50,0,0,,
96,27-Jan-24,Saturday,03,ACCTG 201,3,9,#N/A,1,0,,
97,27-Jan-24,Saturday,03,MATH 101,4,12,#N/A,0,0,,
98,27-Jan-24,Saturday,03,CSE 111,2,6,#N/A,0,0,,
99,27-Jan-24,Saturday,03,MKT 275,3,9,#N/A,0,0,,
100,27-Jan-24,Saturday,03,MATH 221,3,9,00.75,0,0,,
101,28-Jan-24,Sunday,03,ACCTG 201,3,9,#N/A,1,0,,
102,28-Jan-24,Sunday,03,MATH 101,4,12,#N/A,0,0,,
103,28-Jan-24,Sunday,03,CSE 111,2,6,#N/A,0,0,,
104,28-Jan-24,Sunday,03,MKT 275,3,9,#N/A,0,0,,
105,28-Jan-24,Sunday,03,MATH 221,3,9,#N/A,0,0,,
106,29-Jan-24,Monday,04,ACCTG 201,3,9,#N/A,1,1,,
107,29-Jan-24,Monday,04,MATH 101,4,12,#N/A,0,1,,
108,29-Jan-24,Monday,04,CSE 111,2,6,#N/A,0,1,,
109,29-Jan-24,Monday,04,MKT 275,3,9,01.00,0,1,,
110,29-Jan-24,Monday,04,MATH 221,3,9,#N/A,0,1,,
111,30-Jan-24,Tuesday,04,ACCTG 201,3,9,00.25,1,1,,
112,30-Jan-24,Tuesday,04,MATH 101,4,12,#N/A,0,1,,
113,30-Jan-24,Tuesday,04,CSE 111,2,6,#N/A,0,1,,
114,30-Jan-24,Tuesday,04,MKT 275,3,9,#N/A,0,1,,
115,30-Jan-24,Tuesday,04,MATH 221,3,9,#N/A,0,1,,
116,31-Jan-24,Wednesday,04,ACCTG 201,3,9,#N/A,1,1,,
117,31-Jan-24,Wednesday,04,MATH 101,4,12,#N/A,0,1,,
118,31-Jan-24,Wednesday,04,CSE 111,2,6,#N/A,0,1,,
119,31-Jan-24,Wednesday,04,MKT 275,3,9,#N/A,0,1,,
120,31-Jan-24,Wednesday,04,MATH 221,3,9,#N/A,0,1,,
121,1-Feb-24,Thursday,04,ACCTG 201,3,9,#N/A,1,1,,
122,1-Feb-24,Thursday,04,MATH 101,4,12,#N/A,0,1,,
123,1-Feb-24,Thursday,04,CSE 111,2,6,#N/A,0,1,,
124,1-Feb-24,Thursday,04,MKT 275,3,9,#N/A,0,1,,
125,1-Feb-24,Thursday,04,MATH 221,3,9,#N/A,0,1,,
126,2-Feb-24,Friday,04,ACCTG 201,3,9,04.00,1,0,,
127,2-Feb-24,Friday,04,MATH 101,4,12,#N/A,0,0,,
128,2-Feb-24,Friday,04,CSE 111,2,6,#N/A,0,0,,
129,2-Feb-24,Friday,04,MKT 275,3,9,#N/A,0,0,,
130,2-Feb-24,Friday,04,MATH 221,3,9,#N/A,0,0,,
131,3-Feb-24,Saturday,04,ACCTG 201,3,9,00.50,1,0,,
132,3-Feb-24,Saturday,04,MATH 101,4,12,#N/A,0,0,,
133,3-Feb-24,Saturday,04,CSE 111,2,6,#N/A,0,0,,
134,3-Feb-24,Saturday,04,MKT 275,3,9,#N/A,0,0,,
135,3-Feb-24,Saturday,04,MATH 221,3,9,#N/A,0,0,,
136,4-Feb-24,Sunday,04,ACCTG 201,3,9,#N/A,1,0,,
137,4-Feb-24,Sunday,04,MATH 101,4,12,#N/A,0,0,,
138,4-Feb-24,Sunday,04,CSE 111,2,6,#N/A,0,0,,
139,4-Feb-24,Sunday,04,MKT 275,3,9,#N/A,0,0,,
140,4-Feb-24,Sunday,04,MATH 221,3,9,#N/A,0,0,,
141,5-Feb-24,Monday,05,ACCTG 201,3,9,06.50,1,0,,
142,5-Feb-24,Monday,05,MATH 101,4,12,#N/A,0,0,,
143,5-Feb-24,Monday,05,CSE 111,2,6,#N/A,1,0,,
144,5-Feb-24,Monday,05,MKT 275,3,9,01.25,1,0,,
145,5-Feb-24,Monday,05,MATH 221,3,9,#N/A,0,0,,
146,6-Feb-24,Tuesday,05,ACCTG 201,3,9,#N/A,1,0,,
147,6-Feb-24,Tuesday,05,MATH 101,4,12,#N/A,0,0,,
148,6-Feb-24,Tuesday,05,CSE 111,2,6,01.25,1,0,,
149,6-Feb-24,Tuesday,05,MKT 275,3,9,04.25,1,0,,
150,6-Feb-24,Tuesday,05,MATH 221,3,9,#N/A,0,0,,
151,7-Feb-24,Wednesday,05,ACCTG 201,3,9,#N/A,1,0,,
152,7-Feb-24,Wednesday,05,MATH 101,4,12,05.00,0,0,,
153,7-Feb-24,Wednesday,05,CSE 111,2,6,#N/A,1,0,,
154,7-Feb-24,Wednesday,05,MKT 275,3,9,03.00,1,0,,
155,7-Feb-24,Wednesday,05,MATH 221,3,9,01.50,0,0,,
156,8-Feb-24,Thursday,05,ACCTG 201,3,9,02.25,1,0,,
157,8-Feb-24,Thursday,05,MATH 101,4,12,01.00,0,0,,
158,8-Feb-24,Thursday,05,CSE 111,2,6,04.25,1,0,,
159,8-Feb-24,Thursday,05,MKT 275,3,9,#N/A,1,0,,
160,8-Feb-24,Thursday,05,MATH 221,3,9,#N/A,0,0,,
161,9-Feb-24,Friday,05,ACCTG 201,3,9,09.50,1,0,,
