glpostingdate,timestamp,aftercloseflag,sourcename,glaccountid,glaccountname,deptname,divisionname,deptid,dividx,username,ref1,sourceidx,drcr,amount,dr,cr,reportdate,astitle,ascompanyname,rolluppayments,ponum
10/8/25 0:00,10/10/25 7:48,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203341Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",257,
10/9/25 0:00,10/10/25 15:05,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203344Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",26,
10/9/25 0:00,10/10/25 15:06,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203343Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",29,
10/10/25 0:00,10/13/25 14:30,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203732Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",262,
10/10/25 0:00,10/13/25 14:31,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203734Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",265,
10/10/25 0:00,10/13/25 14:31,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203733Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",268,
10/14/25 0:00,10/15/25 14:12,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203735Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",139,
10/15/25 0:00,10/17/25 8:48,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203736Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",325,
10/15/25 0:00,10/17/25 8:48,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203737Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",328,
10/16/25 0:00,10/17/25 14:20,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203739Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",532,
10/16/25 0:00,10/17/25 14:21,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`203738Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",535,
10/17/25 0:00,10/21/25 8:18,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204103Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",346,
10/17/25 0:00,10/21/25 8:19,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204102Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",349,
10/17/25 0:00,10/21/25 8:22,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204101Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",352,
10/21/25 0:00,10/22/25 14:48,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204104Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",415,
10/22/25 0:00,10/24/25 10:43,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204105Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",334,
10/23/25 0:00,10/24/25 13:38,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204108Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",550,
10/23/25 0:00,10/24/25 13:38,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204107Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",553,
10/23/25 0:00,10/24/25 13:38,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204106Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",556,
10/24/25 0:00,10/27/25 15:19,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204401Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",794,
10/24/25 0:00,10/27/25 15:20,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204400Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",797,
10/28/25 0:00,10/29/25 14:33,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204402Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",715,
10/29/25 0:00,10/31/25 8:51,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204403Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",664,
10/29/25 0:00,10/31/25 8:52,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204404Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",667,
10/30/25 0:00,10/31/25 14:14,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204405Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",646,
10/30/25 0:00,10/31/25 14:14,N,Invoicing,655,Freight,Hamer ,Rigby Produce,2,1,JULIE,"Bob Evans Farms`204406Lima, OH",10,C,-803.23,0,803.23,"Nov 14, 2025 17:49:17",GL Activity Detail Report by Account,"Rigby Produce, Inc.",649,
